cof,ASA_m^2/g,Density,LS,B,O,C,H,Si,N,S,Ni,Zn,Cu,Co,F,P,Cl,V,Br
20300N2,2210.47,0.516143,20.10559,0.0,0.0357142857142857,0.5357142857142857,0.3214285714285714,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15251N2,1993.4,0.535897,22.78767,0.0,0.0,0.5531914893617021,0.3617021276595745,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21020N2,4002.17,0.513434,8.21562,0.0,0.0,0.532608695652174,0.4347826086956521,0.0,0.0326086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19464N2,2096.02,0.51612,21.51492,0.0,0.0526315789473684,0.4736842105263157,0.4210526315789473,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13150N2,1707.59,0.594918,22.85845,0.0,0.0588235294117647,0.5294117647058824,0.3529411764705882,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18030N2,1818.87,0.764414,7.81506,0.0,0.0,0.5833333333333334,0.375,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20280N2,1915.03,0.618262,15.79014,0.0,0.0,0.5952380952380952,0.3571428571428571,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20403N2,4881.5,0.499717,10.56287,0.0,0.0,0.5957446808510638,0.3617021276595745,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20460N2,796.366,1.08544,10.56229,0.0,0.0588235294117647,0.3823529411764705,0.2352941176470588,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.0,0.0,0.0
21310N2,2531.09,0.41957,23.04945,0.0,0.0,0.6229508196721312,0.3442622950819672,0.0,0.0327868852459016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16130N3,6289.7,0.146333,31.72634,0.0424028268551236,0.0848056537102473,0.6042402826855123,0.254416961130742,0.0,0.0,0.0,0.0141342756183745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19060N2,1966.12,0.583835,15.65803,0.0,0.0096153846153846,0.5576923076923077,0.3846153846153846,0.0,0.048076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20282N2,1784.44,0.632043,20.5796,0.0,0.0,0.5818181818181818,0.3636363636363636,0.0,0.0545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190N2,2269.58,0.42343,25.64462,0.0,0.0,0.5641025641025641,0.358974358974359,0.0,0.0512820512820512,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19260N2,1477.47,0.781933,11.16368,0.0,0.0,0.5862068965517241,0.3103448275862069,0.0,0.1034482758620689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15140N2,2352.2,0.363533,32.2827,0.0,0.0,0.5454545454545454,0.4090909090909091,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17020N2,1947.95,0.530409,22.4178,0.0,0.0625,0.5,0.3125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
