,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,6.2492995,2.5273652,0.4221399,0.0,0.0,0.60559577,5.356923,0.022988083,0.0,0.0,2.6243722,0.0,1.3550621,0.0,1.48971,6.7277465,1.5560361,0.0,0.0,0.0,1.7528559,0.0,0.0,0.0,0.0,7.9904847,0.0,6.6954956,5.858157,4.2886915,1.6110525,4.63988,8.105009,3.4778337,0.0,0.0,0.0,0.290581,4.0527325,7.2612844,7.301187,4.5734606,0.56419504,0.0,4.696561,0.0,2.5014148,4.93692,0.0,2.552457,7.6379075,4.585567,2.019883,10.931322,11.846757,2.500944,0.0,0.0,5.583919,0.0,1.7832339,7.809029,0.0,0.0,6.1217875,6.228109,0.0,0.3405136,8.253706,0.0,0.0,3.7048295,2.4923441,7.7508264,5.2015576
11,2.2489624,0.0,6.540708,0.0,0.0,4.725027,0.0,4.4248786,0.70319927,0.0,0.0,0.0,1.3489196,0.0,4.45424,2.9812598,0.0,0.0,0.0,0.0,3.3288188,2.717778,4.2910314,0.21190223,0.0,0.6214097,0.0,3.2580836,1.3536667,0.47611883,2.5258298,0.0,4.335841,6.335636,5.1616793,0.0,0.0,3.658436,2.7969117,6.0523114,6.325252,2.5432222,1.0559757,0.064543545,1.2470288,0.0,5.5653415,0.0,3.1211126,3.2741988,4.4873395,4.342179,1.893355,7.598961,6.5532484,0.0,2.1136937,0.0,2.5344143,2.6784823,3.1544871,4.9503856,0.0,0.0,3.6051505,2.3749988,0.0,3.1332204,4.3007474,2.1138177,0.0,4.1121573,2.6398094,4.030322,0.0
12,0.0,5.699084,0.0,0.0,0.0,0.36136907,5.8566546,0.0,0.0,0.0,0.0,0.0,4.959983,0.0,0.0,4.6691937,0.0,0.0,0.0,0.0,3.3103786,0.0,0.0,0.0,0.0,8.729978,0.0,3.2666073,9.068432,4.0822253,2.6106603,10.041844,4.596148,0.28998914,0.0,0.0,0.0,0.0,0.0,7.290332,3.5180771,5.6239777,6.7755666,1.0225947,0.0,0.0,0.0,0.5747911,0.0,3.5656846,6.9753046,0.0,0.0,11.843407,12.32561,2.7112303,0.0,0.0,7.9095917,0.0,4.642983,11.950902,0.0,0.0,5.8868957,2.9076695,2.6867561,1.9591538,10.43438,0.0,0.0,1.2121401,8.410423,1.5949991,7.950908
13,2.9354734,0.0,4.992667,0.0,0.0,4.066573,0.0,3.6634085,0.045376226,0.0,0.46512204,0.0,2.1021097,0.0,4.6102705,2.316313,0.0,0.0,0.0,0.0,3.4511676,2.1229556,5.34146,0.0,0.0,1.5352575,0.0,3.0968885,0.113182396,1.1612068,1.2813416,0.0,3.9652636,4.3244853,5.0044775,0.0,0.0,3.7859702,4.360312,6.2881813,7.1932592,3.5176232,0.0,0.0,2.4965372,0.0,4.379891,1.3660188,4.702516,2.1439102,4.195278,3.9916341,3.0045176,7.2395062,6.602799,0.0,1.846855,0.0,1.9648644,3.343315,2.3983703,4.653722,0.0,0.0,4.346809,2.9797451,0.0,2.0669787,3.7137754,1.0328028,0.0,3.2166889,2.571948,3.7918859,0.0
14,1.6944544,7.295749,0.0,0.0,0.0,0.0,3.5599914,0.0,0.0,0.0,0.0,0.0,5.5604544,0.0,0.0,4.4940915,0.0,0.0,0.0,0.0,3.1671185,0.0,0.0,0.0,0.0,11.523571,0.0,4.194645,7.8888416,6.4223356,2.5366108,11.023128,5.7676983,0.0,0.0,0.0,0.0,0.0,0.0,4.7314878,1.712015,5.303665,4.169692,0.0,1.9144225,0.0,0.0,4.616325,0.0,2.3386173,5.616766,0.0,0.0,9.540131,10.880973,1.4329153,0.0,0.0,10.609563,0.0,3.1433856,9.550629,0.0,0.0,4.25265,5.252246,0.90284145,0.0,10.692475,0.0,0.0,0.0,8.726062,0.0,6.7430143
15,4.658015,3.2764528,0.0,0.0,0.0,0.8995809,4.100887,0.0,0.0,0.0,1.9394684,0.0,1.7990501,0.0,1.0341052,4.52566,2.7010362,0.0,0.0,0.0,2.4875278,0.0,0.0,0.0,0.0,7.683624,0.0,4.740873,4.0219646,4.3881106,0.0,2.1434124,5.7278028,1.858928,0.0,0.0,0.0,0.72501403,4.382823,6.8691196,6.503967,5.059197,0.0,0.0,4.1050873,0.0,1.9047117,4.1727114,0.0,1.9421988,5.577551,3.6661494,1.9222924,9.739462,10.415117,2.7724948,0.0,0.0,3.5074239,0.0,1.0210531,6.398417,0.0,0.0,5.371057,4.908872,0.0,0.0,6.6460876,0.0,0.0,2.5414622,3.4902596,4.737406,3.7841754
16,3.8409657,4.983213,0.0,0.0,0.0,0.5065983,3.0579,0.0,0.0,0.0,1.6349263,0.0,1.5788333,0.0,0.0,2.5825422,0.5520587,0.0,0.0,0.0,1.6647491,0.0,0.0,0.0,0.0,5.9643087,0.0,4.8056955,5.438971,4.407006,0.45767304,4.8108144,3.530422,0.0,0.0,0.0,0.0,0.0,0.0,2.9953878,1.2276697,4.0884256,0.4673821,0.0,1.3454401,0.0,0.0,3.7318976,0.0,3.5772686,5.407803,1.7173867,1.1820178,7.3586984,7.618382,1.7214295,0.0,0.0,5.248165,0.0,0.85630023,4.771036,0.0,0.0,1.8213587,3.6725643,0.0,0.0,7.1389704,0.0,0.0,0.8994782,4.1739545,0.63524973,4.8144107
17,0.43274844,3.1229553,2.1184974,0.0,0.0,2.1128783,4.4435277,0.10753062,0.0,0.0,0.40107918,0.0,0.63929033,0.0,0.33792725,2.9018624,3.2184489,0.0,0.0,0.0,2.0922272,2.8535247,0.0,1.7803453,0.0,5.2636795,0.0,1.7937489,3.8110018,1.6883608,0.5074245,1.7228382,1.8127297,2.4453156,1.2201548,0.0,0.0,1.8447526,2.3459246,5.3826118,4.540638,3.883958,2.0829673,4.074728,0.4497905,0.0,0.9618213,0.0,0.0,3.045281,4.424264,1.9202869,0.0,8.997412,8.32537,3.8306773,0.0,0.0,1.8448981,1.3950685,2.2094066,5.934601,0.0,0.0,2.5079746,0.9483493,0.0,0.0,5.7956686,0.0,0.0,2.1115687,4.0776277,3.1879787,3.978139
18,1.1153123,2.2796597,2.767536,0.0,0.0,2.7138507,3.7183936,0.798793,0.0,0.0,0.5675196,0.0,0.6942454,0.0,0.5786725,2.984852,1.9534428,0.0,0.0,0.0,2.0154192,2.2821643,0.0,1.0316657,0.0,4.393959,0.0,2.4120862,4.2278433,1.806811,0.9563073,1.7388178,2.5935574,3.1850715,1.5344287,0.0,0.0,1.7717638,2.0673552,5.381675,4.643884,4.0667233,2.1751888,3.0351982,0.7716344,0.0,1.9545724,0.0,0.0,3.3699913,5.0587296,2.296027,0.37936407,9.109181,8.6926365,2.9159124,0.0,0.0,2.394648,1.6518848,2.2668853,6.051213,0.0,0.0,2.7996683,1.5009863,0.0,0.44519198,6.067364,0.0,0.0,2.396355,3.9772143,3.0434167,3.4920948
19,4.040204,2.4199479,0.0,0.0,0.0,0.0,2.8665667,0.0,0.0,0.0,3.027056,0.0,1.2501477,0.0,0.0,2.1763217,2.0918002,0.0,0.0,0.0,1.5499046,0.0,0.0,0.0,0.0,5.4581256,0.0,4.202893,3.6996691,3.7902122,0.0,1.3425783,3.433461,0.0,0.0,0.0,0.0,0.0,2.4772985,4.50705,4.3134284,4.9782505,0.0,0.0,2.2503517,0.0,0.14732979,3.2721937,0.0,1.58747,4.9580073,2.09862,2.0534139,7.4910426,8.385167,2.3404303,0.0,0.0,1.9963013,0.43890148,0.0,4.217142,0.0,0.0,3.112247,3.595838,0.0,0.0,4.957779,0.0,0.0,1.1279628,2.1428418,2.9219491,3.375917
