cof,ASA_m^2/g,Density,LS
12024N2,2064.66,0.429733,32.24029
19490N2,1950.26,0.681481,9.88561
13072N2,1754.65,0.595993,22.20649
21190N2,2224.89,0.353013,41.18521
13075N2,1341.5,0.82531,15.59333
19441N2,321.772,1.26432,4.88517
12060N2,1387.27,0.777322,16.97751
17190N2,2095.65,0.560084,16.67363
09000N3,3250.94,0.545319,9.35856
12011N2,1592.39,0.668765,18.72706
19041N2,2006.69,0.501009,25.07646
21110N3,6772.52,0.215582,23.05723
15170N2,1515.13,0.806596,10.81126
14040N2,2158.09,0.391468,34.3671
15040N2,1655.39,0.758374,12.30214
16142N2,2445.54,0.374905,31.14894
20130N2,1655.89,0.581431,27.54388
19230N2,2186.48,0.50258,18.893
20211N2,2096.07,0.538649,20.2998
20051N2,1916.83,0.51313,26.26799
17050N2,2224.45,0.4697,24.86396
19101N2,1422.6,0.754903,18.31073
19363N2,2153.24,0.408946,33.62292
12050N2,1146.66,0.903296,9.50439
19411N2,1862.29,0.522701,36.19593
14073N2,4745.05,0.312968,20.23652
07010N3,5075.23,0.420553,9.04156
20410N2,2294.62,0.498816,27.2711
20300N2,2210.47,0.516143,20.10559
15251N2,1993.4,0.535897,22.78767
21020N2,4002.17,0.513434,8.21562
19464N2,2096.02,0.51612,21.51492
13150N2,1707.59,0.594918,22.85845
18030N2,1818.87,0.764414,7.81506
20280N2,1915.03,0.618262,15.79014
20403N2,4881.5,0.499717,10.56287
20460N2,796.366,1.08544,10.56229
21310N2,2531.09,0.41957,23.04945
16130N3,6289.7,0.146333,31.72634
19060N2,1966.12,0.583835,15.65803
20282N2,1784.44,0.632043,20.5796
20190N2,2269.58,0.42343,25.64462
19260N2,1477.47,0.781933,11.16368
15140N2,2352.2,0.363533,32.2827
17020N2,1947.95,0.530409,22.4178
21140N2,1544.49,0.778051,11.34279
20160N2,2007.5,0.516247,25.57282
21230N2,5014.8,0.439893,10.07568
21111N3,2814.76,0.598089,9.58888
20491N2,1907.78,0.687281,18.73247
19210N2,2422.43,0.406917,27.59709
19362N2,2173.88,0.373694,36.72689
15101N2,1511.65,0.681698,22.16326
20310N2,5844.45,0.207679,28.9663
21130N2,2410.77,0.49363,21.09238
16450N2,4003.15,0.361779,20.44724
16141N2,2205.15,0.410772,30.56193
21201N2,2561.52,0.578522,14.26724
16340N2,3109.03,0.497826,14.05373
18161N2,1608.91,0.716559,16.89116
19181N2,2037.93,0.521754,25.68521
14060N2,3438.42,0.413466,18.55947
17155N2,1450.7,0.632277,19.382
07001N2,1108.61,0.996063,9.14896
20380N2,1784.54,0.58779,22.84761
16370N2,1004.1,1.03186,6.73972
